date,ticker,price,volume,price_field
2022-01-03,AAPL,364.8267043529771,1818724.0,Close
2022-01-04,AAPL,372.5943931913045,1632048.0,Close
2022-01-05,AAPL,356.73929503449375,1345498.0,Close
2022-01-06,AAPL,346.6696442272745,861348.0,Close
2022-01-07,AAPL,347.8299517420197,1483099.0,Close
2022-01-10,AAPL,345.58364576114025,694872.0,Close
2022-01-11,AAPL,345.6366646837814,1727956.0,Close
2022-01-12,AAPL,339.3079571164932,1196850.0,Close
2022-01-13,AAPL,346.0740717573024,511325.0,Close
2022-01-14,AAPL,352.19872754484686,1015921.0,Close
2022-01-17,AAPL,352.8968886776778,1307779.0,Close
2022-01-18,AAPL,361.8651089296882,1070989.0,Close
2022-01-19,AAPL,365.7901462494754,1367166.0,Close
2022-01-20,AAPL,359.04195683338634,873783.0,Close
2022-01-21,AAPL,362.1534719312614,740883.0,Close
2022-01-24,AAPL,354.6760382785135,1110579.0,Close
2022-01-25,AAPL,361.7411854265816,1143083.0,Close
2022-01-26,AAPL,361.53211530170375,964094.0,Close
2022-01-27,AAPL,360.24604938352377,1560520.0,Close
2022-01-28,AAPL,355.0188381773224,863953.0,Close
2022-01-31,AAPL,364.7880025160435,1270598.0,Close
2022-02-01,AAPL,363.7346642763635,1099915.0,Close
2022-02-02,AAPL,360.48548489195576,687734.0,Close
2022-02-03,AAPL,357.8717821921588,734934.0,Close
2022-02-04,AAPL,362.265526382151,1111777.0,Close
2022-02-07,AAPL,365.3785283467212,1985815.0,Close
2022-02-08,AAPL,368.8997729076408,1308000.0,Close
2022-02-09,AAPL,372.6022838429017,655859.0,Close
2022-02-10,AAPL,390.4166204620024,480515.0,Close
2022-02-11,AAPL,387.1179874256893,1365013.0,Close
2022-02-14,AAPL,382.94268135125463,1071647.0,Close
2022-02-15,AAPL,376.2629329286241,1583445.0,Close
2022-02-16,AAPL,381.57757583486904,855133.0,Close
2022-02-17,AAPL,391.2892469653554,1277442.0,Close
2022-02-18,AAPL,390.5099905067734,1385450.0,Close
2022-02-21,AAPL,383.4707576642548,984760.0,Close
2022-02-22,AAPL,376.6911313781615,990120.0,Close
2022-02-23,AAPL,382.2997053475649,1124674.0,Close
2022-02-24,AAPL,388.7739343218491,1321247.0,Close
2022-02-25,AAPL,393.6401702883303,1103822.0,Close
2022-02-28,AAPL,388.06242539406793,1491893.0,Close
2022-03-01,AAPL,390.2551145875836,945960.0,Close
2022-03-02,AAPL,391.4651886971518,723943.0,Close
2022-03-03,AAPL,393.56065585241333,1964505.0,Close
2022-03-04,AAPL,401.33937062208344,944056.0,Close
2022-03-07,AAPL,403.531175175618,915701.0,Close
2022-03-08,AAPL,409.7917019042806,1096330.0,Close
2022-03-09,AAPL,410.6180387734682,1096806.0,Close
2022-03-10,AAPL,413.45456757454656,971148.0,Close
2022-03-11,AAPL,419.4342865159263,1109001.0,Close
2022-03-14,AAPL,406.15973813705455,1156031.0,Close
2022-03-15,AAPL,403.5059879776078,1148060.0,Close
2022-03-16,AAPL,399.52695422764185,542333.0,Close
2022-03-17,AAPL,394.1007232895873,1955051.0,Close
2022-03-18,AAPL,391.9132323287658,1039297.0,Close
2022-03-21,AAPL,405.0547612988468,1399695.0,Close
2022-03-22,AAPL,397.52373083272806,746070.0,Close
2022-03-23,AAPL,406.2308312873165,988623.0,Close
2022-03-24,AAPL,391.34965475635806,969271.0,Close
2022-03-25,AAPL,388.661211341452,1694747.0,Close
2022-03-28,AAPL,390.26166439210465,907329.0,Close
2022-03-29,AAPL,395.51762793705154,1395495.0,Close
2022-03-30,AAPL,401.93601202356945,921849.0,Close
2022-03-31,AAPL,409.1873314731498,983281.0,Close
