date,ticker,sector,predicted_return,predicted_probability,technical_score,fundamental_score,risk_score,final_signal,rank,forward_return
2025-08-27,META,Technology,0.02344731009763154,0.6493911227349398,0.4,0.5375,0.6,0.684847780683735,1.0,0.05610903986389171
2025-08-27,GOOGL,Technology,0.02505071147585445,0.5943373973274865,0.1,0.48750000000000004,0.5,0.6560843493318717,2.0,-0.14360383877584093
2025-08-27,MSFT,Technology,0.004330164431468881,0.4936331903115117,0.7,0.375,0.7,0.6184082975778779,3.0,-0.0810411887166036
2025-08-27,JPM,Financials,-0.00791002212507157,0.46937684809498503,0.5,0.5625,0.9,0.5798442120237463,4.0,0.004101952980422485
2025-08-27,AMZN,Consumer Discretionary,-0.01825363304998314,0.40171671177319046,0.3,0.7,1.0,0.5454291779432976,5.0,0.1602489252301671
2025-08-27,JNJ,Healthcare,-0.022413104953658808,0.31687098550241805,0.8,0.725,0.8,0.5242177463756045,6.0,0.005649042508197422
2025-08-27,AAPL,Technology,-0.003127543733006063,0.43015376371594694,0.2,0.3875,0.2,0.4700384409289867,7.0,0.056393538895042505
2025-08-27,NVDA,Technology,-0.03440897229549359,0.2902549148017876,1.0,0.7375,0.3,0.42006372870044695,8.0,-0.021872449978329156
2025-08-27,TSLA,Consumer Discretionary,-0.027022831745679314,0.36602621387971235,0.6,0.3125,0.4,0.35900655346992805,9.0,0.10628101625565356
2025-08-27,XOM,Energy,-0.057850876080479355,0.23292506056646106,0.9,0.675,0.1,0.32823126514161527,10.0,-0.15786121677797615
2025-08-28,META,Technology,0.019316819631771537,0.6372805965026884,0.4,0.5375,0.5,0.6718201491256722,1.0,0.12747041056245534
2025-08-28,GOOGL,Technology,0.028677164364085024,0.6075240844701746,0.1,0.48750000000000004,0.6,0.6693810211175437,2.0,-0.1448765171151467
2025-08-28,MSFT,Technology,-0.0001760233777053752,0.47978610683063116,0.7,0.375,0.8,0.6249465267076577,3.0,-0.10827939654874552
2025-08-28,JPM,Financials,-0.011318035077402526,0.45372180200478623,0.5,0.5625,0.9,0.5759304505011965,4.0,-0.008038351824476653
2025-08-28,AMZN,Consumer Discretionary,-0.018007447122818508,0.4046403740266657,0.2,0.7,1.0,0.5361600935066664,5.0,0.14930458925413959
2025-08-28,AAPL,Technology,-0.006242309260642875,0.4201182699603111,0.3,0.3875,0.2,0.4775295674900778,6.0,0.0018121420702803537
2025-08-28,JNJ,Healthcare,-0.026769410972995275,0.3056918104719581,0.8,0.725,0.7,0.4764229526179895,7.0,-0.013868363071369294
2025-08-28,NVDA,Technology,-0.031198871787859933,0.3004217390774418,0.9,0.7375,0.3,0.4126054347693605,8.0,-0.024612840253358637
