ticker,sector,date,price,volume,daily_return,cum_return,ma_5,ma_20,ma_60,volatility_20,rsi,drawdown,momentum_20
AAPL,Technology,2022-01-03,364.8267043529771,1818724.0,,0.0,,,,,50.0,0.0,
AAPL,Technology,2022-01-04,372.5943931913045,1632048.0,0.021291448092056298,0.021291448092056298,,,,,50.0,0.0,
AAPL,Technology,2022-01-05,356.73929503449375,1345498.0,-0.04255323871357919,-0.02216781069474194,,,,,50.0,-0.04255323871357916,
AAPL,Technology,2022-01-06,346.6696442272745,861348.0,-0.028226917940860963,-0.049768999662193836,,,,,50.0,-0.06957900987715411,
AAPL,Technology,2022-01-07,347.8299517420197,1483099.0,0.0033470121600394087,-0.046588564949216815,357.7319977096139,,,,50.0,-0.06646487950925702,
AAPL,Technology,2022-01-10,345.58364576114025,694872.0,-0.00645805793787857,-0.0527457512354107,353.88338599124654,,,,50.0,-0.07249370340443069,
AAPL,Technology,2022-01-11,345.6366646837814,1727956.0,0.00015341849445560385,-0.05260042491469852,348.49184028974196,,,,50.0,-0.07235140678480885,
AAPL,Technology,2022-01-12,339.3079571164932,1196850.0,-0.018310290006641194,-0.06994758588667904,345.00557270614183,,,,50.0,-0.08933692155083173,
AAPL,Technology,2022-01-13,346.0740717573024,511325.0,0.019940925342007976,-0.05140148013269097,344.8864582121474,,,,50.0,-0.0711774570917537,
AAPL,Technology,2022-01-14,352.19872754484686,1015921.0,0.017697528614162072,-0.034613630683987484,345.7602133727128,,,,50.0,-0.05473959356115623,
AAPL,Technology,2022-01-17,352.8968886776778,1307779.0,0.0019822931720900883,-0.03269995187566355,347.2228619560204,,,,50.0,-0.0528658103116255,
AAPL,Technology,2022-01-18,361.8651089296882,1070989.0,0.025413146275147902,-0.008117814260722223,350.46855080520174,,,,50.0,-0.028796150606881236,
AAPL,Technology,2022-01-19,365.7901462494754,1367166.0,0.010846686300860942,0.0026408206554040525,355.76498863179813,,,,50.0,-0.018261807118325386,
AAPL,Technology,2022-01-20,359.04195683338634,873783.0,-0.018448253692122996,-0.015856151566125187,358.3585656470149,,,,50.0,-0.03637316235985284,
AAPL,Technology,2022-01-21,362.1534719312614,740883.0,0.008666160148294244,-0.0073274033666386185,360.34951452429783,,,,48.3255,-0.028022217861669082,
AAPL,Technology,2022-01-24,354.6760382785135,1110579.0,-0.020647140597252478,-0.027823254036367318,360.7053444444649,,,,38.7352,-0.04809077978688486,
AAPL,Technology,2022-01-25,361.7411854265816,1143083.0,0.019920001312634827,-0.008457491980658705,360.6805597438436,,,,53.5353,-0.029128746870730457,
AAPL,Technology,2022-01-26,361.53211530170375,964094.0,-0.0005779549946220985,-0.009030558925548604,359.82895355428934,,,,62.206,-0.029689866760611573,
AAPL,Technology,2022-01-27,360.24604938352377,1560520.0,-0.00355726604566442,-0.012555700870573783,360.0697720643168,,,,60.1759,-0.03314151805134817,
AAPL,Technology,2022-01-28,355.0188381773224,863953.0,-0.014510113893397403,-0.026883630114327706,358.642845313529,355.6211427300384,,,57.3726,-0.04717074474322041,
